word,pos,level,desc
"amid (AMONG)","preposition","C2","among"
"among (IN A GROUP)","preposition","A2","in a particular group of people or things"
"among (IN THE MIDDLE)","preposition","B1","in the middle of something"
"among other things","preposition","B2","used to say that there are other details or examples in addition to the ones you are mentioning"
"among the best/worst/biggest, etc.","preposition","B2","one of the most extreme examples of a particular type"
"among (DIVIDE)","preposition","C1","to each one in a group"
"amongst","preposition","B2","among"
"amount","noun","B1","how much there is of something"
"ample","adjective","C1","enough, or more than enough"
"amuse (MAKE LAUGH)","verb","B2","to make someone laugh or smile"
"amuse (KEEP INTERESTED)","verb","B2","to keep someone interested and help them to have an enjoyable time"
"amused","adjective","B2","showing that you think something is funny"
"keep sb amused","adjective","B2","to keep someone interested and help them to have an enjoyable time"
"amusement (FEELING)","noun","B2","the feeling that you have when something makes you smile or laugh"
"amusement (ENTERTAINMENT)","noun","B2","an enjoyable way of spending your time"
"amusing","adjective","B1","funny or entertaining"
"an","determiner","A1","used instead of 'a' when the following word begins with a vowel sound"
"analogous","adjective","C2","similar in some ways"
"analogy","noun","C2","a comparison that shows how two things are similar"
"analyse","verb","B2","to examine the details of something carefully, in order to understand or explain it"
"analysis","noun","B2","the process of analysing something"
"analyst","noun","B2","someone whose job is to study or examine something in detail"
"analytical","adjective","C1","examining the details of something carefully, in order to understand or explain it"
"ancestor","noun","B2","a relative who lived a long time ago"
"anchor (BOAT)","noun","C2","a heavy, metal object that is dropped into water to stop a boat from moving"
"anchor (SUPPORT)","noun","C2","someone or something that gives support when needed"
"anchor (BOAT)","verb","C2","to stop a boat from moving by dropping a heavy metal object into the water"
"anchor (FASTEN)","verb","C2","to make something or someone stay in one position by fastening them firmly"
"ancient","adjective","B1","from a long time ago"
"and (ALSO)","conjunction","A1","used to join two words, phrases, parts of sentences or related statements together"
"and (AFTER)","conjunction","A1","used to say that one thing happens after another thing"
"and (NUMBERS)","conjunction","A1","used when saying or adding numbers"
"and (AFTER VERB)","conjunction","A2","used instead of 'to' after some verbs, such as 'try' and 'go'"
"and so on","conjunction","A2","used after a list of things to show that you could have added other similar things"
"and (EMPHASIZE)","conjunction","B1","used between two words which are the same to make their meaning stronger"
"angel","noun","B1","a spiritual creature in stories or some religions, usually represented as a human with wings"
"anger","noun","B2","a strong feeling against someone who has behaved badly, making you want to shout at them or hurt them"
"angle (SPACE)","noun","C1","the space between two lines or surfaces at the point at which they touch each other, measured in degrees"
"at an angle","noun","C1","not horizontal or vertical, but sloping"
"angle (DIRECTION)","noun","C1","the direction from which you look at something"
"angle (WAY OF THINKING)","noun","C1","the way you think about a situation"
"angrily","adverb","B1","in an angry way"
"angry","adjective","A2","having a strong feeling against someone who has behaved badly, making you want to shout at them or hurt them"
"animal (NOT A HUMAN)","noun","A1","something that lives and moves but is not a human, bird, fish or insect"
"animal (NOT A PLANT)","noun","B2","anything that lives and moves, including people, birds, etc."
"animated (FILM)","adjective","B1","An animated film is one in which drawings and models seem to move."
"animated (EXCITEMENT)","adjective","C2","showing a lot of interest and excitement"
"animation","noun","B1","an animated film, or the process of making animated films"
"ankle","noun","B1","the joint between the foot and the leg, or the thin part of the leg just above the foot"
"anniversary","noun","B1","the day on which an important event happened in a previous year"
"announce","verb","B1","to tell people about something officially or with force or confidence"
"announcement","noun","B1","something that someone says officially, giving information about something"
"annoy","verb","B1","to make someone angry"
"annoyance","noun","C1","the feeling of being annoyed"
"annoyed","adjective","B1","angry"
"annoying","adjective","B1","making you feel annoyed"
"annual","adjective","B1","happening once every year, or relating to a period of one year"
"annually","adverb","B2","once every year"
"anonymous","adjective","C2","not giving a name"
"another (ADDITIONAL)","determiner","A2","one more person or thing, or an additional amount"
"another (DIFFERENT)","determiner","A2","a different person or thing of the same type"
"one another","determiner","B1","each other"
"at one time or another","determiner","C2","used to talk about an occasion in the past without saying exactly which occasion it was"
"answer (REACTION)","noun","A1","what you say or write back to someone who has asked you a question or spoken to you"
"answer (TEST)","noun","A2","information given as a reply to a question in a test, exercise, competition, etc."
"answer (DOOR/TELEPHONE)","noun","A2","when someone answers the door or telephone"
"answer (SOLUTION)","noun","B1","a way of solving a problem"
"answer (REACT)","verb","A1","to speak or write back to someone who has asked you a question"
"answer (TEST)","verb","B1","to write or say something as a reply to a question in a test, exercise, competition, etc."
"answer (DOOR/PHONE)","verb","A2","to open the door to someone or pick up the telephone"
"ant","noun","B1","a small, black or red insect that lives in groups on the ground"
"antibiotic","noun","C2","a medicine which cures infections by destroying harmful bacteria"
"anticipate","verb","C1","to expect something, or to prepare for something before it happens"
"anticipation","noun","C2","when you are waiting for something to happen, usually with excitement"
"in anticipation (of)","noun","C2","expecting something to happen or in preparation for something happening"
"antique","noun","B1","an object that is old, and often rare or beautiful"
"antique","adjective","B1","old and often rare or beautiful"
"anti-social (BEHAVIOUR)","adjective","C1","Anti-social behaviour harms or upsets the people around you."
